"country","sftgcode","iso3code","year","start.1","mean.p","harff.p","threat.p","rf.p"
"Argentina","ARG","ARG",2010,0,NA,0.00602198803449321,NA,NA
"Argentina","ARG","ARG",2011,0,NA,0.00588928487267665,NA,NA
"Argentina","ARG","ARG",2012,0,NA,0.00640224275017461,NA,NA
"Argentina","ARG","ARG",2013,NA,NA,NA,NA,NA
"Argentina","ARG","ARG",2014,NA,NA,NA,NA,NA
"Armenia","ARM","ARM",1991,0,NA,NA,NA,NA
"Armenia","ARM","ARM",1992,0,0.00676677343495616,0.00373713305402445,0.00256318725084404,0.014
"Armenia","ARM","ARM",1993,0,0.00268526384119813,0.0033542792987205,0.00170151222487388,0.003
"Armenia","ARM","ARM",1994,0,0.0014160528692538,0.00309410191875852,0.00115405668900287,0
"Armenia","ARM","ARM",1995,0,0.00548208769708641,0.00629687584313761,0.00714938724812161,0.003
"Armenia","ARM","ARM",1996,0,0.00316940533954254,0.00209300241833548,0.00541521360029213,0.002
"Armenia","ARM","ARM",1997,0,0.00242903769114576,0.00214308686290295,0.00514402621053434,0
"Armenia","ARM","ARM",1998,0,0.00426182006709914,0.00370886736007822,0.0080765928412192,0.001
"Armenia","ARM","ARM",1999,0,0.00395799662675976,0.00400497066199398,0.00786901921828529,0
"Armenia","ARM","ARM",2000,0,0.00367074298311062,0.00396118539278303,0.00705104355654882,0
"Armenia","ARM","ARM",2001,0,0.00364416348823179,0.0041118715951322,0.00682061886956318,0
"Armenia","ARM","ARM",2002,0,0.00348508998491343,0.00394214850438654,0.00651312145035375,0
"Armenia","ARM","ARM",2003,0,0.00492625199885091,0.00697234979644621,0.00680640620010653,0.001
"Armenia","ARM","ARM",2004,0,0.00368839954415974,0.00739908255740363,0.00366611607507559,0
"Armenia","ARM","ARM",2005,0,0.00382889082503951,0.0079852967637542,0.00350137571136434,0
"Armenia","ARM","ARM",2006,0,0.0047989587332816,0.0106998824090052,0.0036969937908396,0
"Armenia","ARM","ARM",2007,0,0.00488279716019266,0.0111873756217211,0.0034610158588569,0
"Armenia","ARM","ARM",2008,0,0.00552056206090675,0.0114474304134467,0.00311425576927356,0.002
